trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
248,False,"{'a': 0.6, 'e': 0.08458485900156469}",20,0,26.69853373520449,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
249,False,"{'a': 0.6, 'e': 0.08374322559219596}",20,0,28.76228192822021,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
250,False,"{'a': 0.6, 'e': 0.08290996657517266}",30,18,23.53622030435825,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
251,False,"{'a': 0.6, 'e': 0.0820849986238988}",30,21,13.665840623579472,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
252,False,"{'a': 0.6, 'e': 0.08126823924089167}",25,18,14.767439631126166,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
253,False,"{'a': 0.6, 'e': 0.08045960674953244}",20,7,23.440136393716614,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
254,False,"{'a': 0.6, 'e': 0.07965902028589801}",25,2,25.703767814395004,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 0}",1
255,False,"{'a': 0.6, 'e': 0.07886639979067495}",20,0,-8.92964753960347,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
256,False,"{'a': 0.6, 'e': 0.07808166600115313}",35,15,33.74606359142891,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
257,False,"{'a': 0.6, 'e': 0.07730474044329974}",20,8,15.905420467425989,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
258,False,"{'a': 0.6, 'e': 0.07653554542391151}",30,5,39.23069862497698,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
259,False,"{'a': 0.6, 'e': 0.07577400402284548}",25,0,10.03880455988412,"{0: 23, 1: 1, 2: 0, 3: 1, 4: 0}",0
260,False,"{'a': 0.6, 'e': 0.07502004008532698}",30,17,25.703737653396548,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
261,False,"{'a': 0.6, 'e': 0.07427357821433388}",25,14,21.620335083966538,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
262,False,"{'a': 0.6, 'e': 0.0735345437630571}",25,8,29.07407617140465,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
263,False,"{'a': 0.6, 'e': 0.07280286282743559}",30,7,12.452892966415789,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 0}",1
264,False,"{'a': 0.6, 'e': 0.0720784622387661}",20,8,23.035950791476594,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
265,False,"{'a': 0.6, 'e': 0.07136126955638605}",20,5,24.05581461011675,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
266,False,"{'a': 0.6, 'e': 0.0706512130604296}",35,25,20.954954951303723,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
267,False,"{'a': 0.6, 'e': 0.06994822174465536}",20,0,-0.5249152441669704,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
268,False,"{'a': 0.6, 'e': 0.069252225309346}",20,11,9.424272595129473,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
269,False,"{'a': 0.6, 'e': 0.06856315415427791}",25,14,-35.07958238315535,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
270,False,"{'a': 0.6, 'e': 0.06788093937176144}",20,12,-26.012285824515526,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
271,False,"{'a': 0.6, 'e': 0.06720551273974976}",25,12,8.617231931944124,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
272,False,"{'a': 0.6, 'e': 0.06653680671501686}",35,22,14.46569037229135,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
273,False,"{'a': 0.6, 'e': 0.06587475442640295}",20,13,13.20857403834011,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
274,False,"{'a': 0.6, 'e': 0.06521928966812753}",20,0,28.341966955503818,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
275,False,"{'a': 0.6, 'e': 0.06457034689316847}",20,1,17.367617381644035,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 0}",1
276,False,"{'a': 0.6, 'e': 0.06392786120670757}",20,12,16.856292493939506,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
277,False,"{'a': 0.6, 'e': 0.0632917683596407}",25,11,13.42981161152659,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
278,False,"{'a': 0.6, 'e': 0.06266200474215315}",30,4,23.221993455251592,"{0: 25, 1: 0, 2: 0, 3: 1, 4: 0}",1
279,False,"{'a': 0.6, 'e': 0.06203850737735829}",25,17,6.417343061935538,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
280,False,"{'a': 0.6, 'e': 0.06142121391500013}",20,1,29.056682632117823,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
281,False,"{'a': 0.6, 'e': 0.06081006262521795}",25,10,-15.294998664730164,"{0: 13, 1: 0, 2: 0, 3: 2, 4: 0}",1
282,False,"{'a': 0.6, 'e': 0.06020499239237354}",20,7,-16.231588028100624,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
283,False,"{'a': 0.6, 'e': 0.05960594270893937}",25,10,16.093641207039138,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
284,False,"{'a': 0.6, 'e': 0.05901285366944784}",25,9,28.775323991060116,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
285,False,"{'a': 0.6, 'e': 0.05842566596450083}",25,12,22.029138971158925,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
286,False,"{'a': 0.6, 'e': 0.057844320874838456}",25,0,-10.511978633357794,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
287,False,"{'a': 0.6, 'e': 0.05726876026546736}",25,11,27.271986359335855,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
288,False,"{'a': 0.6, 'e': 0.0566989265798469}",35,0,42.925984817236746,"{0: 35, 1: 0, 2: 0, 3: 0, 4: 0}",0
289,False,"{'a': 0.6, 'e': 0.056134762834133725}",20,10,6.437574839607594,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
290,False,"{'a': 0.6, 'e': 0.05557621261148306}",20,8,11.099699865509127,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
291,False,"{'a': 0.6, 'e': 0.05502322005640723}",20,0,22.764513378826443,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
292,False,"{'a': 0.6, 'e': 0.05447572986918986}",20,7,25.813387254647566,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
293,False,"{'a': 0.6, 'e': 0.05393368730035602}",20,0,32.265831644730845,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
294,False,"{'a': 0.6, 'e': 0.053397038145197084}",30,11,15.28487020732674,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 0}",1
295,False,"{'a': 0.6, 'e': 0.05286572873835037}",20,6,22.677480093040423,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
296,False,"{'a': 0.6, 'e': 0.05233970594843238}",20,8,19.334207567320284,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
297,False,"{'a': 0.6, 'e': 0.05181891717272583}",30,16,25.67079927629445,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
298,False,"{'a': 0.6, 'e': 0.05130331033191911}",25,8,21.769140196814842,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
299,False,"{'a': 0.6, 'e': 0.0507928338648985}",30,17,26.04156115833024,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
300,False,"{'a': 0.6, 'e': 0.050287436723591865}",20,3,32.65138675352848,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
301,False,"{'a': 0.6, 'e': 0.049787068367863944}",20,11,6.611558572880552,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
302,False,"{'a': 0.6, 'e': 0.04929167876046215}",25,12,24.651955007026906,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
303,False,"{'a': 0.6, 'e': 0.04880121836201296}",25,8,14.876333938275668,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
304,False,"{'a': 0.6, 'e': 0.04831563812606777}",30,7,43.38347996876203,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
305,False,"{'a': 0.6, 'e': 0.04783488949419837}",20,12,18.14931917405753,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
306,False,"{'a': 0.6, 'e': 0.04735892439114091}",20,13,11.525110944606052,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
307,False,"{'a': 0.6, 'e': 0.046887695219988486}",20,8,18.99706591950225,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
308,False,"{'a': 0.6, 'e': 0.04642115485743125}",25,13,18.426356499799795,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
309,False,"{'a': 0.6, 'e': 0.045959256649044204}",30,16,-16.25878929534907,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
